product_name,price,image,category,subcategory,product_desc
Allen Solly Men's Polo,625,shop/images/Clothing0.jpg,Clothing,CLT0,Allen Solly Men's Polo
Van Heusen Men's Solid Regular,566,shop/images/Clothing1.jpg,Clothing,CLT1,Van Heusen Men's Solid Regular Fit Polo
Chromozome Men's Plain Regular Fit,377,shop/images/Clothing2.jpg,Clothing,CLT2,Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)
Jockey Women's Cotton Hipster ,309,shop/images/Clothing3.jpg,Clothing,CLT3,Jockey Women's Cotton Hipster (Pack of 3) (Colors may vary)(color may vary)
Vaamsi Women's crepe a,299,shop/images/Clothing4.jpg,Clothing,CLT4,Vaamsi Women's crepe a-line Kurta
LUX VENUS Men's Cotton Vest,268,shop/images/Clothing5.jpg,Clothing,CLT5,LUX VENUS Men's Cotton Vest (Pack of 6)
Dennis Lingo Men's Casual Shirt,549,shop/images/Clothing6.jpg,Clothing,CLT6,Dennis Lingo Men's Casual Shirt
Marlin Women's Cotton Kurti With,349,shop/images/Clothing7.jpg,Clothing,CLT7,Marlin Women's Cotton Kurti With Palazzo Pant Set (Light Green)
Rupa Jon Men's Cotton Vest,123,shop/images/Clothing8.jpg,Clothing,CLT8,Rupa Jon Men's Cotton Vest
Jockey Women's Cotton Bikini ,328,shop/images/Clothing9.jpg,Clothing,CLT9,Jockey Women's Cotton Bikini (Pack of 3) (color may vary)
AMERICAN CREW Men's Polo Collar,523,shop/images/Clothing10.jpg,Clothing,CLT10,AMERICAN CREW Men's Polo Collar Half Sleeve T-Shirt
Dri,267,shop/images/Clothing11.jpg,Clothing,CLT11,Dri-Fit Lower 100% Polyester Slim and Fit Track Pants
Jockey Men's Regular Fit T,319,shop/images/Clothing12.jpg,Clothing,CLT12,Jockey Men's Regular Fit T-Shirt
Ben Martin Men's Relaxed Jeans,549,shop/images/Clothing13.jpg,Clothing,CLT13,Ben Martin Men's Relaxed Jeans
Amazon Brand ,369,shop/images/Clothing14.jpg,Clothing,CLT14,Amazon Brand - Symbol Women's T-Shirt
Winza Designer Women's Banarasi Art,399,shop/images/Clothing15.jpg,Clothing,CLT15,Winza Designer Women's Banarasi Art Silk Saree With Blouse
Jockey Men's Cotton Brief,101,shop/images/Clothing16.jpg,Clothing,CLT16,Jockey Men's Cotton Brief(Colors & Print May Vary)(color may vary)
LUX VENUS Men's Cotton Vest,119,shop/images/Clothing17.jpg,Clothing,CLT17,LUX VENUS Men's Cotton Vest (Pack of 3)
Euro Men's Cotton Brief ,309,shop/images/Clothing18.jpg,Clothing,CLT18,Euro Men's Cotton Brief (Pack of 5) (Colors May Vary)
Fashion Gallery Tshirts for Men|V,300,shop/images/Clothing19.jpg,Clothing,CLT19,Fashion Gallery Tshirts for Men|V-Neck Tshirts for Mens Full Sleeves|Men's Regular Fit Cotton Tshirt
Maniac Men's Cotton T,299,shop/images/Clothing20.jpg,Clothing,CLT20,Maniac Men's Cotton T-Shirt (Mens-Ss18-Rn-Fs-Checked-Tshirt)
United Colors of Benetton Men's,419,shop/images/Clothing21.jpg,Clothing,CLT21,United Colors of Benetton Men's Solid Regular Fit Polo
Diverse Men's Printed Regular fit,459,shop/images/Clothing22.jpg,Clothing,CLT22,Diverse Men's Printed Regular fit Cotton Formal Shirt
Jockey Men's Cotton T,340,shop/images/Clothing23.jpg,Clothing,CLT23,Jockey Men's Cotton T-Shirt
NAVYSPORT Men's Cotton Solid Ankle,279,shop/images/Clothing24.jpg,Clothing,CLT24,"NAVYSPORT Men's Cotton Solid Ankle Socks, Pack of 3 (Multi-Coloured)"
Jockey Men's Cotton Boxer Brief,151,shop/images/Clothing25.jpg,Clothing,CLT25,Jockey Men's Cotton Boxer Brief
Jockey Men's Cotton Vest ,389,shop/images/Clothing26.jpg,Clothing,CLT26,Jockey Men's Cotton Vest (Pack of 3) (Modern Classic)(Colors & Print May Vary)
US Polo Association Men's Solid,249,shop/images/Clothing27.jpg,Clothing,CLT27,US Polo Association Men's Solid Regular Fit T-Shirt
Jockey Men's Cotton Shorts,505,shop/images/Clothing28.jpg,Clothing,CLT28,Jockey Men's Cotton Shorts
V3Squared Men's Cotton Full Sleeve,403,shop/images/Clothing29.jpg,Clothing,CLT29,V3Squared Men's Cotton Full Sleeve Cotton T-Shirt
Longies Men's Printed Boxers ,619,shop/images/Clothing30.jpg,Clothing,CLT30,Longies Men's Printed Boxers (Pack of 3)
Intellilens® Square Unisex Blue Cut,749,shop/images/Clothing31.jpg,Clothing,CLT31,"Intellilens® Square Unisex Blue Cut Spectacles With Anti-glare for Eye Protection (Zero Power, Black)"
LUX LYRA Women's Pants,328,shop/images/Clothing32.jpg,Clothing,CLT32,LUX LYRA Women's Pants
Alan Jones Clothing Men's Cotton,616,shop/images/Clothing33.jpg,Clothing,CLT33,Alan Jones Clothing Men's Cotton Slim Fit Joggers
EYEBOGLER Men's Cotton Waist Coat,348,shop/images/Clothing34.jpg,Clothing,CLT34,EYEBOGLER Men's Cotton Waist Coat Style Tshirt/T-Shirt
Dennis Lingo Men's Solid Slim,445,shop/images/Clothing35.jpg,Clothing,CLT35,Dennis Lingo Men's Solid Slim Fit Casual Shirt
T2F Boy's Joggers Track Pant,208,shop/images/Clothing36.jpg,Clothing,CLT36,T2F Boy's Joggers Track Pant
Scott International Men's Basic Cotton,499,shop/images/Clothing37.jpg,Clothing,CLT37,Scott International Men's Basic Cotton Round Neck Half Sleeve Solid T-Shirts - Pack of 3
Anni Designer Women's Art silk,299,shop/images/Clothing38.jpg,Clothing,CLT38,Anni Designer Women's Art silk with blouse piece Saree(Free Size)
Anni Designer Women's Georgette Saree,299,shop/images/Clothing39.jpg,Clothing,CLT39,Anni Designer Women's Georgette Saree
INDO ERA Women's Pure Cotton,849,shop/images/Clothing40.jpg,Clothing,CLT40,INDO ERA Women's Pure Cotton Straight Palazzo Kurta Set With Dupatta (Beige)
Carecroft shirt stays tucker garter,499,shop/images/Clothing41.jpg,Clothing,CLT41,Carecroft shirt stays tucker garter for men women belt elastic slip adjustable black non garters…
Amazon Brand ,319,shop/images/Clothing42.jpg,Clothing,CLT42,Amazon Brand - Symbol Men's Regular Fit Polo
Anni Designer Art Silk Saree,299,shop/images/Clothing43.jpg,Clothing,CLT43,Anni Designer Art Silk Saree with Blouse Piece
Trylo Krutika Women's Non,298,shop/images/Clothing44.jpg,Clothing,CLT44,Trylo Krutika Women's Non-Wired Full Cup Cotton Bra
vaidehi creation Women's Twill Tafeta,266,shop/images/Clothing45.jpg,Clothing,CLT45,vaidehi creation Women's Twill Tafeta Gown
Diverse Men's Relaxed Fit Stretchable,519,shop/images/Clothing46.jpg,Clothing,CLT46,Diverse Men's Relaxed Fit Stretchable Jeans
Yashika women's art silk kalamkari,298,shop/images/Clothing47.jpg,Clothing,CLT47,Yashika women's art silk kalamkari and bhagalpuri style saree with blouse piece and soft feel (kora)
ANNI DESIGNER Raniyal Georgette Saree,299,shop/images/Clothing48.jpg,Clothing,CLT48,ANNI DESIGNER Raniyal Georgette Saree with Blouse Piece (Black Gerog_Black_Free Size)
Katso Men's Cotton T,270,shop/images/Clothing49.jpg,Clothing,CLT49,Katso Men's Cotton T-Shirt (Pack of 1) Hood-Full…
